Dataset,Model,Precision,Recall,F1-Score,ROC-AUC
fraud_data,Tuned_XGBoost,0.9679109364767517,0.5307001795332137,0.6855287569573284,0.7629645234785334
creditcard_data,Tuned_XGBoost,0.430939226519337,0.8210526315789474,0.5652173913043478,0.9672759063109398
