Dataset,Model,Precision,Recall,F1-Score,ROC-AUC
fraud_data,LogisticRegression,0.09974607721856892,0.5500897666068223,0.16887125220458554,0.5313867102842227
fraud_data,RandomForest,0.9919246298788694,0.5292639138240575,0.6902364785764458,0.7710580417540298
fraud_data,XGBoost,0.9666448659254414,0.5307001795332137,0.6852109411219286,0.7615565532949518
creditcard_data,LogisticRegression,0.13705583756345177,0.8526315789473684,0.23615160349854228,0.9595317219280748
creditcard_data,RandomForest,0.9012345679012346,0.7684210526315789,0.8295454545454546,0.9601821494301674
creditcard_data,XGBoost,0.8636363636363636,0.8,0.8306010928961749,0.9680257421014541
